Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A668972,Mufasa,12/12/2013 12:59:00 PM,12/12/2013 12:59:00 PM,9220 Ih 35 in Austin (TX),Public Assist,Normal,Dog,Intact Male,4 years,Mastiff Mix,Black,Mufasa,12/30/2013 02:40:00 PM,12/30/2013 02:40:00 PM,12/12/2009,Dog,Intact Male,4 years,Mastiff Mix,Black,1.0
A756041,,08/13/2017 11:18:00 AM,08/13/2017 11:18:00 AM,8504 Flagstone in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,,08/17/2017 05:29:00 PM,08/17/2017 05:29:00 PM,05/29/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,0.0
A791266,Marvin,03/23/2019 03:22:00 PM,03/23/2019 03:22:00 PM,Creedmoor (TX),Owner Surrender,Normal,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White,Marvin,04/12/2019 04:10:00 PM,04/12/2019 04:10:00 PM,03/23/2014,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White,0.0
A782709,Xena,10/20/2018 09:36:00 AM,10/20/2018 09:36:00 AM,Decker Lake Dr And 973 in Travis (TX),Stray,Injured,Dog,Intact Female,5 years,Siberian Husky Mix,Gray/White,Xena,10/22/2018 12:30:00 PM,10/22/2018 12:30:00 PM,10/20/2013,Dog,Intact Female,5 years,Siberian Husky Mix,Gray/White,0.0
A699922,Texas,04/04/2015 12:52:00 PM,04/04/2015 12:52:00 PM,11330 Farrah Ln in Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,Texas,04/07/2015 06:22:00 PM,04/07/2015 06:22:00 PM,04/04/2013,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,0.0
A768629,Keyser Soze,05/29/2018 12:52:00 PM,05/29/2018 12:52:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Belgian Malinois Mix,Brown/Black,Keyser Soze,06/03/2018 05:05:00 PM,06/03/2018 05:05:00 PM,03/22/2017,Dog,Neutered Male,1 year,Belgian Malinois Mix,Brown/Black,0.0
A700939,*Treble,05/14/2015 12:16:00 PM,05/14/2015 12:16:00 PM,Leander (TX),Owner Surrender,Normal,Dog,Neutered Male,4 months,Pit Bull Mix,Black/White,*Treble,05/18/2015 05:06:00 PM,05/18/2015 05:06:00 PM,12/25/2014,Dog,Neutered Male,4 months,Pit Bull Mix,Black/White,0.0
A712189,Judd,09/18/2015 06:45:00 PM,09/18/2015 06:45:00 PM,Hwy 183 And Anderson Mill in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Beagle Mix,Tricolor,Judd,09/19/2015 11:34:00 AM,09/19/2015 11:34:00 AM,09/18/2009,Dog,Neutered Male,6 years,Beagle Mix,Tricolor,0.0
A700596,*Scotty,04/16/2015 03:16:00 PM,04/16/2015 03:16:00 PM,7313 South Glenn St in Austin (TX),Stray,Normal,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby/White,*Scotty,05/03/2015 05:48:00 PM,05/03/2015 05:48:00 PM,04/16/2014,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby/White,0.0
A743116,Achilles,02/04/2017 10:09:00 AM,02/04/2017 10:09:00 AM,7400 Loyola Lane in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,White/Red,Achilles,02/04/2017 12:37:00 PM,02/04/2017 12:37:00 PM,02/04/2016,Dog,Intact Male,1 year,Pit Bull Mix,White/Red,0.0
