Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A815848,,03/27/2020 06:54:00 PM,03/27/2020 06:54:00 PM,2815 Manor Rd in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,,03/27/2020 07:00:00 PM,03/27/2020 07:00:00 PM,03/27/2019,Other,Unknown,,Bat,Brown,1.0
A815835,,03/27/2020 02:10:00 PM,03/27/2020 02:10:00 PM,12176 N Mopac Expy in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown,,03/27/2020 03:12:00 PM,03/27/2020 03:12:00 PM,03/27/2018,Other,Unknown,,Bat,Brown,1.0
A815834,,03/27/2020 01:48:00 PM,03/27/2020 01:48:00 PM,715 E 8Th St in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown,,03/27/2020 03:12:00 PM,03/27/2020 03:12:00 PM,03/27/2018,Other,Unknown,,Bat,Brown,1.0
A815821,,03/26/2020 11:45:00 PM,03/26/2020 11:45:00 PM,3621 Bratton Heights Dr in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown,,03/27/2020 09:08:00 AM,03/27/2020 09:08:00 AM,03/26/2018,Other,Unknown,2 years,Bat,Brown/Brown,1.0
A815816,,03/26/2020 11:21:00 PM,03/26/2020 11:21:00 PM,7801 Capital Of Texas in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown,,03/27/2020 09:05:00 AM,03/27/2020 09:05:00 AM,03/26/2018,Other,Unknown,2 years,Bat,Brown/Brown,1.0
A815814,,03/26/2020 11:05:00 PM,03/26/2020 11:05:00 PM,700 Lavaca St in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown,,03/27/2020 08:16:00 AM,03/27/2020 08:16:00 AM,03/26/2018,Other,Unknown,2 years,Bat,Brown/Brown,1.0
A815813,,03/26/2020 04:54:00 PM,03/26/2020 04:54:00 PM,727 Airport Boulevard in Austin (TX),Abandoned,Normal,Dog,Intact Male,3 years,Labrador Retriever Mix,Black,,03/26/2020 05:04:00 PM,03/26/2020 05:04:00 PM,03/26/2017,Dog,Intact Male,,Labrador Retriever Mix,Black,0.0
A815799,Oliver,03/26/2020 02:01:00 PM,03/26/2020 02:01:00 PM,9804 Woodshire in Austin (TX),Stray,Injured,Cat,Intact Male,2 years,Domestic Medium Hair,Orange/White,Oliver,03/27/2020 01:16:00 PM,03/27/2020 01:16:00 PM,03/26/2018,Cat,Intact Male,2 years,Domestic Medium Hair,Orange/White,0.0
A815792,,03/26/2020 12:45:00 PM,03/26/2020 12:45:00 PM,Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,,03/26/2020 02:16:00 PM,03/26/2020 02:16:00 PM,03/26/2019,Other,Unknown,1 year,Bat,Brown,1.0
A815791,,03/26/2020 12:03:00 PM,03/26/2020 12:03:00 PM,1106 Clayton Lane in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown,,03/26/2020 02:14:00 PM,03/26/2020 02:14:00 PM,03/26/2018,Other,Unknown,2 years,Bat,Brown,1.0
A815789,Cookie,03/26/2020 10:43:00 AM,03/26/2020 10:43:00 AM,Tara Drive And Salt Springs Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,American Pit Bull Terrier,White/Black,Cookie,03/26/2020 01:05:00 PM,03/26/2020 01:05:00 PM,03/26/2019,Dog,Spayed Female,1 year,American Pit Bull Terrier,White/Black,0.0
A815787,,03/26/2020 10:04:00 AM,03/26/2020 10:04:00 AM,Austin (TX),Wildlife,Normal,Other,Unknown,5 months,Bat,Gray/Gray,,03/27/2020 08:58:00 AM,03/27/2020 08:58:00 AM,09/26/2019,Other,Unknown,6 months,Bat,Gray/Gray,1.0
