Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,DateTime_Intake_month,DateTime_Intake_year,DateTime_Outcome_month,DateTime_Outcome_year,Date of Birth_month,Date of Birth_year,Day_in_shelter,Reproduction_ability,health_Situation
A668972,Austin,Public Assist,Normal,Dog,Intact Male,1461.0,Other,Black,Intact Male,1479.0,Death,12,2013,12,2013,12,2009,18.0,Yes,Healthy
A756041,Austin,Stray,Normal,Cat,Intact Female,76.0,Domestic Shorthair Mix,Black,Spayed Female,80.0,Alive,8,2017,8,2017,5,2017,4.0,No,Healthy
A791266,Creedmoor,Owner Surrender,Normal,Cat,Neutered Male,1826.0,Domestic Shorthair Mix,Mix color,Neutered Male,1846.0,Alive,3,2019,4,2019,3,2014,20.0,No,Healthy
A782709,Travis,Stray,Injured,Dog,Intact Female,1826.0,Other,Mix color,Intact Female,1828.0,Alive,10,2018,10,2018,10,2013,2.0,Yes,Unhealthy
A699922,Austin,Stray,Normal,Cat,Neutered Male,730.0,Domestic Shorthair Mix,Tabby,Neutered Male,733.0,Alive,4,2015,4,2015,4,2013,3.0,No,Healthy
A768629,Austin,Owner Surrender,Normal,Dog,Neutered Male,433.0,Other,Mix color,Neutered Male,438.0,Alive,5,2018,6,2018,3,2017,5.0,No,Healthy
A700939,Leander,Owner Surrender,Normal,Dog,Neutered Male,140.0,Pit Bull Mix,Mix color,Neutered Male,144.0,Alive,5,2015,5,2015,12,2014,4.0,No,Healthy
A712189,Austin,Stray,Normal,Dog,Neutered Male,2191.0,Other,Tricolor,Neutered Male,2192.0,Alive,9,2015,9,2015,9,2009,1.0,No,Healthy
A700596,Austin,Stray,Normal,Cat,Neutered Male,365.0,Domestic Shorthair Mix,Mix color,Neutered Male,382.0,Alive,4,2015,5,2015,4,2014,17.0,No,Healthy
A743116,Austin,Stray,Normal,Dog,Intact Male,366.0,Pit Bull Mix,Mix color,Intact Male,366.0,Alive,2,2017,2,2017,2,2016,0.0,Yes,Healthy
A672666,Austin,Stray,Normal,Cat,Spayed Female,549.0,Domestic Shorthair Mix,Mix color,Spayed Female,556.0,Alive,2,2014,2,2014,8,2012,7.0,No,Healthy
A384027,Austin,Stray,Normal,Dog,Neutered Male,3573.5499999999965,Other,Brown,Neutered Male,3575.6999999999966,Alive,3,2019,3,2019,11,2004,2.150000000000091,No,Healthy
A665843,Austin,Owner Surrender,Normal,Cat,Intact Male,122.0,Domestic Shorthair Mix,Tabby,Neutered Male,133.0,Alive,10,2013,11,2013,6,2013,11.0,No,Healthy
A668433,Austin,Stray,Normal,Dog,Intact Male,731.0,Pit Bull Mix,Mix color,Intact Male,738.0,Death,12,2013,12,2013,12,2011,7.0,Yes,Healthy
A683220,Pflugerville,Public Assist,Normal,Cat,Intact Female,366.0,Domestic Shorthair Mix,Tabby,Intact Female,387.0,Alive,7,2014,7,2014,7,2013,21.0,Yes,Healthy
A674877,Austin,Stray,Normal,Dog,Intact Male,74.0,Other,Mix color,Neutered Male,78.0,Alive,3,2014,3,2014,1,2014,4.0,No,Healthy
A800513,Austin,Stray,Normal,Cat,Intact Male,61.0,Domestic Shorthair,Mix color,Neutered Male,74.0,Alive,7,2019,8,2019,5,2019,13.0,No,Healthy
A797067,Austin,Owner Surrender,Normal,Dog,Neutered Male,2191.0,German Shepherd Mix,Mix color,Neutered Male,2202.0,Alive,6,2019,6,2019,6,2013,11.0,No,Healthy
A801161,Austin,Stray,Normal,Cat,Unknown,22.0,Domestic Shorthair,Black,Unknown,22.0,Alive,7,2019,7,2019,7,2019,0.0,Unknown,Healthy
A773489,Austin,Stray,Normal,Cat,Intact Male,37.0,Domestic Shorthair Mix,Mix color,Neutered Male,59.0,Alive,6,2018,6,2018,4,2018,22.0,No,Healthy
A633175,Austin,Owner Surrender,Normal,Dog,Intact Male,1583.0,Other,Mix color,Neutered Male,1618.0,Alive,5,2015,7,2015,1,2011,35.0,No,Healthy
